Wall time,Step,Value
1754188716.6175742,10000,0.6348402500152588
1754188772.723247,20000,0.5010430216789246
1754188827.6176922,30000,0.4884709119796753
1754188884.157145,40000,0.6182262897491455
1754188941.9231079,50000,0.3878844678401947
1754188998.3390565,60000,0.4001431465148926
1754189053.0982118,70000,0.4048821032047272
1754189108.5292141,80000,0.3467637896537781
1754189163.3003993,90000,0.5558684468269348
1754189221.2419596,100000,0.30684658885002136
1754189277.4114087,110000,0.34646230936050415
1754189332.7627409,120000,0.3590851128101349
1754189388.235765,130000,0.3142882287502289
1754189447.3409674,140000,0.2555221915245056
1754189503.967648,150000,0.26241835951805115
1754189560.0441244,160000,0.2708562910556793
1754189615.744878,170000,0.256200909614563
1754189672.1780515,180000,0.2575587034225464
1754189727.858645,190000,0.23405519127845764
1754189783.5331736,200000,0.20927979052066803
1754189840.086149,210000,0.220746248960495
1754189895.5075886,220000,0.21187414228916168
1754189951.7494493,230000,0.15031719207763672
1754190007.8854997,240000,0.2017962783575058
1754190063.2431726,250000,0.1926368772983551
1754190119.469173,260000,0.18828728795051575
1754190175.598513,270000,0.17409509420394897
1754190231.2004027,280000,0.1881721466779709
1754190287.0279627,290000,0.1818181574344635
1754190342.55089,300000,0.1445792317390442
1754190399.0545015,310000,0.13652728497982025
1754190456.2703376,320000,0.1524721384048462
1754190512.6399255,330000,0.16678458452224731
1754190569.000244,340000,0.15621545910835266
1754190624.391847,350000,0.15329429507255554
1754190680.019261,360000,0.161560520529747
1754190735.8229983,370000,0.15438425540924072
1754190792.3321621,380000,0.16738148033618927
1754190848.0092525,390000,0.17841453850269318
1754190903.5778952,400000,0.1754804104566574
1754190959.3454728,410000,0.15736889839172363
1754191015.2952287,420000,0.13531599938869476
1754191070.5820036,430000,0.1656431406736374
1754191125.6811259,440000,0.17887470126152039
1754191185.3154821,450000,0.15709464251995087
1754191242.1089435,460000,0.17926527559757233
1754191298.796905,470000,0.1653190553188324
1754191355.7731166,480000,0.21771280467510223
1754191415.3142817,490000,0.19627968966960907
1754191472.3196895,500000,0.1774834394454956
1754191530.6556828,510000,0.21424496173858643
1754191587.8981593,520000,0.21587730944156647
1754191644.3919199,530000,0.17291006445884705
1754191700.7536123,540000,0.21880674362182617
1754191756.5755806,550000,0.18704576790332794
1754191812.5737333,560000,0.19828611612319946
1754191868.7281995,570000,0.18227936327457428
1754191925.4447515,580000,0.14674948155879974
1754191982.683778,590000,0.14738310873508453
1754192039.4989393,600000,0.11602886021137238
1754192095.5653467,610000,0.12137150019407272
1754192151.7480495,620000,0.10106466710567474
1754192207.759703,630000,0.06622789055109024
1754192263.8142817,640000,0.0690004751086235
1754192320.0033746,650000,0.06780731678009033
1754192376.4450898,660000,0.07015874981880188
1754192432.2835534,670000,0.06206495314836502
1754192488.4745057,680000,0.06656789034605026
1754192544.6548316,690000,0.05310704559087753
1754192600.3632436,700000,0.06772706657648087
1754192656.3731334,710000,0.055735714733600616
1754192712.2886355,720000,0.06958145648241043
1754192768.3232977,730000,0.04896785318851471
1754192824.1177282,740000,0.04421059042215347
1754192880.0999832,750000,0.06471337378025055
1754192936.220762,760000,0.0594637468457222
1754192992.228319,770000,0.05142930895090103
1754193047.7670631,780000,0.052044205367565155
1754193104.0978582,790000,0.06505235284566879
1754193159.771832,800000,0.07289647310972214
1754193215.3516393,810000,0.04597082734107971
1754193271.6880524,820000,0.0545826256275177
1754193328.2624867,830000,0.055299751460552216
1754193385.112603,840000,0.06750611960887909
1754193441.4148135,850000,0.060117751359939575
1754193497.394416,860000,0.07094461470842361
1754193553.5198371,870000,0.06278541684150696
1754193610.1148987,880000,0.07451392710208893
1754193666.2931945,890000,0.05653794854879379
1754193722.5006144,900000,0.05885329097509384
1754193779.296945,910000,0.04963218420743942
1754193835.625226,920000,0.050189632922410965
1754193891.6410158,930000,0.039566658437252045
1754193947.563686,940000,0.07199983298778534
1754194004.05565,950000,0.07204101234674454
1754194060.7559283,960000,0.047498300671577454
1754194117.3675165,970000,0.059899963438510895
1754194174.3103516,980000,0.062348078936338425
1754194231.2995224,990000,0.049676939845085144
