Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
178,546,100.0,99.08,24639.11
179,1000,97.92,100.0,46418.04
180,1000,99.52,99.6,44070.76
181,1000,99.04,98.7,43858.24
182,1000,99.52,95.4,46829.67
183,1000,98.08,99.6,28709.0
184,1000,99.84,99.0,26979.08
185,1000,99.84,99.1,26065.44
186,1000,99.52,98.7,24549.81
187,1000,97.12,95.7,26439.17
188,352,100.0,97.16,12181.12
189,1000,99.52,97.5,28023.95
190,1000,99.36,99.5,27860.08
191,1000,98.88,99.5,27797.73
192,1000,97.44,97.0,35951.6
193,1000,99.36,99.1,27308.12
194,1000,99.68,98.7,27086.3
195,1000,99.68,95.8,31482.86
196,1000,99.2,96.8,48023.31
197,1000,99.52,97.9,47657.9
198,1000,99.36,99.7,47376.22
199,362,100.0,94.48,16766.11
200,1000,99.84,97.5,47059.64
201,1000,99.04,98.7,45889.52
202,1000,97.28,97.1,45164.87
203,1000,99.84,99.5,48138.53
204,1000,99.36,99.6,45975.87
205,1000,98.88,99.4,45017.76
206,1000,99.36,99.5,34588.7
207,1000,99.2,99.0,25945.72
208,699,100.0,99.0,17711.32
209,290,100.0,98.97,7431.48
210,1000,99.68,98.6,26062.75
211,238,100.0,91.6,6151.57
212,1000,99.36,98.7,25014.81
213,1000,99.36,97.3,25297.2
214,1000,99.36,99.7,25789.32
215,1000,99.84,98.4,24273.71
216,1000,99.52,98.6,23558.85
217,658,100.0,93.31,15568.75
218,1000,99.52,97.0,22711.88
219,634,100.0,98.74,14634.35
220,1000,98.72,98.6,22777.76
221,1000,99.68,98.7,23161.93
222,1000,99.2,99.2,22718.9
223,1000,99.04,99.5,22886.23
224,1000,99.52,99.7,23197.06
225,1000,99.36,97.8,23644.45
226,1000,98.4,98.5,24911.31
227,1000,99.68,96.9,24073.37
228,1000,98.72,98.6,23520.19
229,1000,99.36,97.7,25116.74
230,1000,99.68,97.5,24892.65
231,1000,99.04,99.1,24946.51
232,1000,99.52,99.5,26285.67
233,1000,99.36,99.0,25149.34
234,1000,99.84,99.3,24689.55
235,1000,97.92,99.8,24623.2
236,336,100.0,94.94,8369.67
237,1000,99.36,99.0,24784.92
238,1000,98.88,96.3,25296.17
239,1000,99.52,98.4,25253.18
240,1000,98.88,91.6,25651.47
241,1000,99.36,92.6,24897.26
242,1000,99.68,99.9,25324.38
243,1000,99.04,99.3,25130.39
244,1000,99.04,99.0,24862.6
245,1000,99.68,98.2,24907.29
246,1000,99.04,94.6,25138.6
247,1000,99.68,96.1,24728.49
248,1000,99.04,99.2,24669.98
249,1000,99.2,98.6,25625.33
250,1000,99.2,99.2,25823.76
251,1000,99.84,99.1,25445.08
252,1000,99.04,99.2,25578.25
253,1000,99.68,97.2,24435.52
254,1000,98.88,96.5,24806.24
255,1000,99.04,99.8,24283.61
256,1000,99.04,99.4,24673.37
257,1000,99.84,98.1,24547.61
258,887,100.0,96.84,21931.73
259,1000,99.68,99.7,24500.95
260,1000,99.68,99.1,24616.57
261,1000,99.36,97.2,24689.65
262,1000,99.52,99.9,25072.53
263,1000,99.36,99.4,24461.32
264,1000,97.44,98.2,25731.57
265,1000,99.68,99.4,32627.58
266,469,100.0,96.59,23457.53
267,1000,97.44,97.6,45449.35
268,1000,99.36,98.2,25139.48
269,1000,99.84,99.9,24895.87
270,1000,99.2,99.6,25638.82
271,1000,99.84,98.5,25680.45
272,1000,98.72,99.4,26394.21
273,276,100.0,97.1,7245.2
274,446,100.0,98.88,11639.66
275,1000,99.36,99.2,26409.08
276,1000,99.84,99.0,26796.14
277,1000,99.84,98.4,26216.62
278,1000,99.04,99.5,26445.17
279,1000,97.6,99.9,26446.06
280,1000,99.84,100.0,25930.13
281,1000,99.36,99.0,26231.89
282,1000,99.52,98.7,26635.67
283,1000,99.84,99.5,26304.91
284,1000,99.36,98.3,26446.13
285,565,100.0,96.46,15096.48
286,1000,99.84,97.8,26862.36
287,1000,99.04,99.2,27069.66
288,1000,99.52,98.7,25629.86
289,1000,99.52,100.0,24959.39
290,1000,99.36,98.4,24793.7
291,1000,99.2,98.3,25032.02
292,1000,98.4,98.8,25641.17
293,1000,99.84,99.7,26210.37
294,1000,99.52,98.7,28430.47
295,1000,98.56,96.6,25407.14
296,1000,99.52,100.0,26544.61
297,1000,99.04,98.6,30187.6
