Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,96.64,98.0,12953.01
2,1000,99.04,97.6,12142.7
3,1000,97.92,90.2,12509.75
4,1000,96.48,99.8,12497.81
5,1000,97.76,99.4,12509.58
6,1000,99.04,100.0,12627.33
7,1000,94.24,98.9,12969.04
8,1000,96.8,98.2,12672.1
9,1000,94.56,96.4,12490.18
10,1000,99.2,99.6,12611.07
11,1000,98.72,100.0,12398.78
12,1000,98.88,100.0,12389.22
13,1000,97.76,100.0,12439.95
14,1000,97.6,97.6,12486.5
15,1000,98.4,97.4,13339.1
16,1000,97.76,99.8,12919.8
17,1000,98.08,85.6,12889.14
18,1000,97.76,99.9,12599.01
19,1000,94.88,95.9,12067.14
20,1000,98.08,97.8,12626.94
21,1000,98.08,94.7,12669.7
22,1000,95.04,98.1,12607.75
23,1000,94.08,90.5,12538.58
24,1000,94.08,93.8,12638.02
25,1000,98.24,98.3,12406.22
26,1000,98.24,92.9,12424.69
27,1000,98.08,100.0,12568.04
28,1000,98.56,98.3,12528.56
29,1000,98.08,95.1,12505.45
30,1000,96.8,96.8,12525.49
31,1000,94.88,96.6,12550.27
32,1000,96.16,100.0,12599.45
33,1000,96.96,70.1,12399.79
34,1000,94.4,34.7,12409.63
35,1000,98.72,99.7,12476.58
36,1000,97.76,98.9,12483.31
37,1000,96.0,100.0,12485.79
38,1000,93.44,94.7,12481.97
39,1000,86.88,99.9,13558.01
40,1000,98.4,95.5,13829.82
41,1000,96.0,100.0,13315.48
42,1000,97.12,99.8,13443.03
43,1000,95.68,99.2,13660.22
44,1000,96.64,99.9,13353.77
45,1000,95.04,98.8,13074.94
46,1000,94.08,98.0,13220.5
47,1000,97.92,99.4,12993.92
48,1000,97.76,98.9,13798.31
49,1000,97.44,97.9,13336.53
50,1000,96.96,99.3,13182.19
51,1000,99.2,92.8,13495.73
52,1000,96.64,92.6,13611.08
53,1000,96.32,99.5,13708.16
54,1000,98.4,99.2,13812.58
55,1000,98.08,95.6,13491.07
56,1000,96.16,99.1,14028.97
57,1000,98.88,100.0,12633.31
58,1000,97.44,55.4,12415.77
59,1000,93.76,81.0,12390.96
60,1000,97.6,99.9,12370.36
61,1000,92.0,99.8,12433.69
62,1000,97.76,99.5,12360.1
63,1000,97.92,100.0,12439.38
64,1000,92.16,98.8,12452.36
65,1000,99.04,96.1,12420.76
66,1000,98.24,89.7,12502.2
67,1000,95.52,91.5,12422.71
68,1000,95.04,97.7,12394.8
69,1000,98.24,97.1,12446.63
70,1000,97.28,96.7,12434.03
71,1000,97.44,100.0,12515.97
72,1000,97.12,90.8,12406.48
73,1000,98.88,97.2,12435.35
74,1000,98.08,89.3,12384.96
75,1000,97.44,98.7,12372.21
76,1000,95.36,98.8,12471.21
77,1000,97.28,95.5,12641.28
78,1000,98.08,99.0,12502.93
79,1000,73.6,96.2,11503.29
80,1000,97.28,97.9,12660.46
81,1000,97.28,96.9,12642.89
82,1000,92.8,100.0,12667.48
83,1000,99.04,99.8,12580.43
84,1000,98.72,98.9,12366.09
85,1000,95.68,100.0,12387.09
86,1000,95.36,99.6,12640.27
87,1000,96.32,99.7,12367.23
88,1000,96.8,99.7,12471.74
89,1000,82.24,97.0,12448.63
90,1000,98.08,96.8,12427.46
91,1000,95.68,98.2,12446.8
92,1000,98.72,99.8,12482.29
93,1000,98.4,100.0,12351.92
94,1000,97.44,96.3,12429.0
95,1000,99.84,99.6,12503.02
96,1000,98.24,99.6,12462.0
97,1000,95.36,95.0,12423.09
98,1000,98.24,89.4,12531.52
99,1000,96.64,99.4,12575.39
100,1000,93.6,97.6,12731.18
101,1000,98.4,98.8,12511.08
102,1000,95.52,99.5,12892.46
103,1000,97.76,97.4,12515.92
104,1000,98.72,99.4,12426.2
105,1000,95.52,98.0,12468.44
106,1000,96.0,98.4,12354.5
107,1000,96.96,84.9,12388.1
108,1000,98.08,90.4,12405.35
109,1000,98.88,99.9,12366.56
110,1000,97.12,96.8,12363.13
111,1000,96.16,100.0,12542.66
112,1000,98.08,99.7,12469.4
113,1000,97.6,96.0,12461.69
114,1000,96.8,99.0,12931.02
115,1000,99.2,99.7,12545.78
116,1000,98.08,75.8,12509.36
117,1000,96.96,99.7,12406.4
118,1000,98.56,98.9,12327.02
119,1000,97.76,85.1,12377.29
120,1000,95.84,90.9,12376.6
121,1000,98.4,99.0,12399.62
122,1000,98.24,100.0,12420.33
123,1000,97.92,99.9,12341.3
124,1000,96.8,98.7,12381.6
125,1000,94.08,99.9,12334.06
126,1000,98.88,98.5,12352.11
127,1000,97.76,97.7,12892.62
128,1000,98.72,100.0,14447.93
129,1000,98.4,99.7,15741.81
130,1000,94.72,41.5,14641.4
131,1000,96.0,97.1,14007.85
132,1000,92.32,99.9,13827.44
133,1000,98.72,93.5,13987.56
134,1000,97.44,98.8,14331.43
135,1000,93.92,100.0,14001.13
136,1000,97.6,98.6,13750.45
137,1000,97.28,99.6,13992.0
138,1000,97.44,87.9,14151.95
139,1000,98.24,99.4,13955.17
140,1000,91.04,92.4,13977.03
141,1000,97.44,99.6,13807.48
142,1000,96.64,97.6,13938.67
143,1000,97.12,100.0,13855.78
144,1000,98.88,96.8,13928.74
145,1000,98.56,96.0,14005.53
146,1000,98.56,98.5,13874.51
147,1000,98.72,98.2,14654.85
148,1000,98.4,98.8,13960.28
149,1000,94.88,98.8,13971.1
150,1000,94.08,96.1,14007.04
151,1000,98.4,94.6,13945.56
152,1000,97.44,97.8,13402.03
153,1000,97.28,98.6,12508.19
154,1000,99.36,98.7,12489.28
155,1000,97.6,99.3,12350.56
156,1000,98.24,100.0,12026.52
157,1000,97.92,98.3,12856.29
158,1000,98.88,96.5,12538.15
159,1000,94.24,99.4,14022.13
160,1000,96.32,98.5,15279.27
161,1000,87.84,95.9,14687.75
162,1000,97.6,99.9,13849.63
163,1000,96.64,95.7,14015.81
164,1000,98.4,100.0,14107.8
165,1000,96.8,99.9,14086.84
166,1000,97.6,97.8,13887.12
167,1000,97.92,100.0,13979.14
168,1000,95.36,90.4,14047.81
169,1000,97.6,99.5,14309.44
170,1000,97.44,98.0,14072.55
171,1000,92.48,98.6,14673.51
172,1000,94.24,99.8,14185.71
173,1000,97.92,99.9,14183.87
174,1000,97.12,91.2,13897.78
175,1000,96.32,100.0,14018.47
176,1000,93.44,98.1,14214.89
177,1000,95.36,98.1,14256.38
178,1000,97.44,98.0,14048.88
179,1000,96.32,99.8,13772.97
180,1000,96.8,83.6,14184.52
181,1000,96.8,98.1,14164.3
182,1000,94.72,99.0,14450.65
183,1000,98.56,99.5,14184.28
184,1000,95.52,96.6,14152.39
185,1000,97.92,98.3,14218.55
186,1000,98.56,99.5,13533.88
187,1000,95.04,95.2,12123.64
188,1000,96.96,99.5,13854.52
189,1000,94.24,100.0,14311.13
190,1000,95.84,100.0,13156.17
191,1000,96.32,100.0,13036.28
192,1000,93.28,99.8,12456.38
193,1000,97.6,99.8,12499.35
194,1000,98.72,99.5,12491.42
195,1000,97.28,98.2,12675.07
