Episode,Disconnect_Start,Disconnect_End,Steps_Broken
1,98,99.0,1
1,101,102.0,1
1,104,105.0,1
1,108,115.0,7
1,116,121.0,5
1,124,126.0,2
1,133,138.0,5
1,282,283.0,1
2,35,39.0,4
2,53,54.0,1
2,871,872.0,1
2,952,953.0,1
2,954,955.0,1
2,969,970.0,1
2,971,972.0,1
2,973,974.0,1
2,976,977.0,1
3,59,60.0,1
3,61,62.0,1
3,166,168.0,2
3,572,573.0,1
3,574,575.0,1
3,576,577.0,1
3,578,580.0,2
3,581,582.0,1
4,38,76.0,38
4,77,78.0,1
4,169,170.0,1
4,175,176.0,1
4,177,178.0,1
4,179,180.0,1
4,186,187.0,1
4,195,196.0,1
5,37,38.0,1
5,60,61.0,1
5,62,63.0,1
5,65,66.0,1
5,67,68.0,1
5,201,202.0,1
5,227,228.0,1
6,113,115.0,2
6,116,117.0,1
6,119,122.0,3
6,976,978.0,2
7,176,177.0,1
7,178,179.0,1
7,191,198.0,7
7,223,224.0,1
7,228,229.0,1
8,35,39.0,4
8,42,43.0,1
8,44,45.0,1
8,166,167.0,1
9,54,60.0,6
9,65,66.0,1
9,68,69.0,1
10,479,480.0,1
10,577,578.0,1
10,909,910.0,1
11,128,131.0,3
11,149,151.0,2
12,83,86.0,3
12,88,91.0,3
12,518,519.0,1
12,520,522.0,2
12,524,525.0,1
12,526,527.0,1
12,529,530.0,1
12,531,532.0,1
12,533,535.0,2
12,544,545.0,1
12,719,721.0,2
12,724,725.0,1
13,62,63.0,1
13,64,75.0,11
13,80,81.0,1
13,441,442.0,1
14,337,344.0,7
14,345,346.0,1
14,424,427.0,3
14,463,464.0,1
14,466,468.0,2
14,473,474.0,1
16,110,117.0,7
16,124,125.0,1
16,136,137.0,1
17,80,81.0,1
17,82,84.0,2
17,85,86.0,1
17,114,117.0,3
17,118,119.0,1
18,49,50.0,1
18,58,59.0,1
19,24,27.0,3
20,24,25.0,1
20,216,221.0,5
20,681,682.0,1
21,723,724.0,1
21,726,733.0,7
22,71,72.0,1
22,73,74.0,1
22,114,115.0,1
22,117,118.0,1
22,119,121.0,2
22,157,159.0,2
22,160,161.0,1
22,165,166.0,1
22,809,810.0,1
22,819,820.0,1
22,823,824.0,1
24,107,108.0,1
24,326,327.0,1
24,354,355.0,1
24,373,374.0,1
24,376,377.0,1
24,398,399.0,1
24,403,406.0,3
24,668,669.0,1
24,671,672.0,1
24,700,701.0,1
24,958,959.0,1
25,62,63.0,1
25,109,110.0,1
25,289,290.0,1
26,83,84.0,1
26,460,461.0,1
26,647,648.0,1
26,672,673.0,1
26,711,713.0,2
27,181,184.0,3
28,169,171.0,2
28,530,532.0,2
29,81,82.0,1
29,121,122.0,1
29,123,124.0,1
29,126,127.0,1
29,131,133.0,2
29,134,135.0,1
29,136,138.0,2
29,139,140.0,1
29,257,258.0,1
31,36,37.0,1
31,74,75.0,1
31,242,243.0,1
32,195,196.0,1
32,197,203.0,6
32,264,265.0,1
33,172,174.0,2
34,29,34.0,5
34,43,84.0,41
34,126,127.0,1
34,152,153.0,1
34,156,157.0,1
34,164,165.0,1
35,61,72.0,11
35,75,78.0,3
35,79,81.0,2
35,82,86.0,4
35,171,175.0,4
35,187,188.0,1
35,197,198.0,1
37,33,37.0,4
37,59,60.0,1
37,65,67.0,2
37,86,88.0,2
37,89,91.0,2
38,171,172.0,1
38,284,285.0,1
38,656,657.0,1
38,660,661.0,1
38,662,663.0,1
38,667,668.0,1
38,675,676.0,1
39,34,36.0,2
39,40,42.0,2
39,108,110.0,2
39,172,175.0,3
40,33,34.0,1
40,56,66.0,10
40,69,70.0,1
40,90,91.0,1
40,244,245.0,1
40,246,247.0,1
40,433,434.0,1
40,496,498.0,2
41,89,90.0,1
41,362,363.0,1
41,364,365.0,1
41,440,441.0,1
41,442,443.0,1
41,445,446.0,1
41,680,682.0,2
41,684,686.0,2
41,714,715.0,1
41,728,729.0,1
41,730,734.0,4
41,778,780.0,2
41,817,819.0,2
41,847,848.0,1
43,33,34.0,1
43,107,111.0,4
43,114,115.0,1
43,316,318.0,2
44,59,61.0,2
46,41,42.0,1
46,44,47.0,3
46,68,70.0,2
46,105,106.0,1
46,109,112.0,3
46,337,338.0,1
46,460,461.0,1
47,39,41.0,2
47,42,43.0,1
48,128,130.0,2
48,131,135.0,4
48,136,137.0,1
49,33,35.0,2
49,208,209.0,1
50,48,49.0,1
50,51,52.0,1
50,217,218.0,1
50,222,223.0,1
50,387,389.0,2
51,168,172.0,4
51,929,930.0,1
52,480,481.0,1
53,72,73.0,1
53,75,77.0,2
53,82,83.0,1
53,88,89.0,1
53,325,330.0,5
53,471,472.0,1
53,475,476.0,1
53,574,575.0,1
53,996,997.0,1
54,67,70.0,3
54,76,80.0,4
54,97,98.0,1
54,168,171.0,3
54,172,174.0,2
54,202,203.0,1
54,521,524.0,3
54,640,641.0,1
55,52,57.0,5
55,63,66.0,3
56,129,132.0,3
58,74,75.0,1
58,93,98.0,5
58,100,101.0,1
58,124,126.0,2
58,181,182.0,1
58,183,184.0,1
58,555,556.0,1
59,73,74.0,1
59,120,121.0,1
59,124,126.0,2
60,187,188.0,1
60,191,193.0,2
60,328,329.0,1
61,557,558.0,1
61,561,562.0,1
61,741,743.0,2
61,753,754.0,1
62,92,95.0,3
62,120,121.0,1
62,738,739.0,1
62,742,743.0,1
63,48,49.0,1
63,97,98.0,1
63,99,100.0,1
63,101,102.0,1
63,109,111.0,2
63,430,432.0,2
64,37,39.0,2
64,40,43.0,3
64,45,46.0,1
64,47,53.0,6
64,97,98.0,1
64,100,102.0,2
64,106,107.0,1
66,1000,,0
67,35,36.0,1
67,37,38.0,1
67,39,62.0,23
67,63,68.0,5
67,69,70.0,1
67,71,72.0,1
67,73,132.0,59
67,152,161.0,9
67,163,164.0,1
67,321,323.0,2
67,324,326.0,2
67,409,411.0,2
67,447,449.0,2
68,122,127.0,5
68,185,186.0,1
69,173,174.0,1
69,223,227.0,4
69,259,260.0,1
69,581,582.0,1
69,583,584.0,1
69,585,586.0,1
69,620,621.0,1
69,743,745.0,2
70,663,664.0,1
70,736,738.0,2
70,740,743.0,3
70,744,745.0,1
70,746,747.0,1
71,225,228.0,3
71,233,234.0,1
71,566,567.0,1
71,568,580.0,12
73,162,163.0,1
74,61,62.0,1
74,89,90.0,1
75,45,47.0,2
76,297,298.0,1
77,267,268.0,1
77,273,274.0,1
78,108,112.0,4
78,163,164.0,1
79,38,54.0,16
79,55,56.0,1
80,201,202.0,1
82,968,969.0,1
83,74,75.0,1
83,359,360.0,1
83,428,429.0,1
83,430,431.0,1
83,432,433.0,1
83,438,439.0,1
83,443,444.0,1
83,550,551.0,1
84,113,114.0,1
84,186,190.0,4
85,80,81.0,1
85,126,127.0,1
85,330,331.0,1
85,335,338.0,3
85,339,340.0,1
85,764,765.0,1
85,766,767.0,1
86,36,37.0,1
86,524,525.0,1
87,890,892.0,2
88,65,69.0,4
88,255,256.0,1
89,66,67.0,1
89,70,71.0,1
89,72,73.0,1
89,138,139.0,1
89,210,211.0,1
89,285,287.0,2
89,288,289.0,1
89,602,603.0,1
89,604,606.0,2
89,609,610.0,1
89,612,613.0,1
89,616,617.0,1
89,618,619.0,1
89,621,622.0,1
89,623,624.0,1
89,625,626.0,1
89,724,725.0,1
89,726,727.0,1
89,728,729.0,1
89,730,731.0,1
89,732,733.0,1
89,734,735.0,1
89,736,737.0,1
89,738,739.0,1
89,759,761.0,2
89,810,816.0,6
89,817,821.0,4
90,821,822.0,1
91,88,89.0,1
91,167,168.0,1
91,169,170.0,1
91,189,190.0,1
91,232,238.0,6
91,483,485.0,2
91,717,718.0,1
91,829,830.0,1
91,937,938.0,1
92,213,214.0,1
93,19,33.0,14
93,896,899.0,3
95,920,921.0,1
96,772,783.0,11
98,38,39.0,1
98,40,82.0,42
98,116,118.0,2
99,332,333.0,1
100,56,57.0,1
