Episode,Disconnect_Start,Disconnect_End,Steps_Broken
100,59,68.0,9
100,71,72.0,1
101,155,157.0,2
101,170,171.0,1
101,606,607.0,1
101,608,609.0,1
101,777,778.0,1
101,803,804.0,1
102,63,64.0,1
102,70,72.0,2
102,74,75.0,1
102,129,130.0,1
102,202,203.0,1
103,65,66.0,1
103,688,689.0,1
104,31,40.0,9
104,128,131.0,3
104,135,137.0,2
104,286,287.0,1
104,773,774.0,1
104,794,795.0,1
104,804,805.0,1
105,53,54.0,1
106,41,47.0,6
107,28,30.0,2
107,53,54.0,1
107,136,139.0,3
107,153,154.0,1
107,178,180.0,2
107,418,419.0,1
107,551,552.0,1
107,974,975.0,1
108,48,49.0,1
108,72,75.0,3
108,79,80.0,1
108,81,82.0,1
108,102,103.0,1
108,107,108.0,1
108,161,164.0,3
108,201,202.0,1
108,203,204.0,1
108,208,209.0,1
108,211,212.0,1
108,213,214.0,1
108,426,428.0,2
108,429,430.0,1
108,431,432.0,1
109,78,79.0,1
109,97,98.0,1
109,110,111.0,1
109,220,224.0,4
109,225,227.0,2
110,27,32.0,5
110,1000,,0
111,64,66.0,2
111,584,585.0,1
111,587,589.0,2
112,75,76.0,1
112,84,85.0,1
112,87,88.0,1
112,92,93.0,1
113,63,64.0,1
113,80,81.0,1
114,76,77.0,1
115,210,211.0,1
117,42,43.0,1
117,56,57.0,1
117,158,159.0,1
117,162,164.0,2
117,165,172.0,7
117,173,174.0,1
117,196,200.0,4
117,201,202.0,1
117,204,205.0,1
117,206,208.0,2
117,209,213.0,4
117,218,222.0,4
117,226,227.0,1
117,228,229.0,1
117,781,782.0,1
117,904,905.0,1
118,199,201.0,2
118,256,258.0,2
119,21,24.0,3
119,213,214.0,1
121,476,477.0,1
121,479,480.0,1
122,79,81.0,2
122,82,84.0,2
122,190,191.0,1
122,202,204.0,2
122,237,238.0,1
122,526,527.0,1
122,530,531.0,1
122,534,535.0,1
122,981,982.0,1
123,118,119.0,1
123,213,222.0,9
123,227,229.0,2
123,236,237.0,1
123,243,244.0,1
123,245,246.0,1
123,247,248.0,1
123,257,259.0,2
123,342,352.0,10
123,355,359.0,4
123,365,366.0,1
123,367,376.0,9
123,377,379.0,2
123,588,589.0,1
123,595,598.0,3
123,600,601.0,1
124,45,47.0,2
124,54,56.0,2
124,86,87.0,1
124,100,102.0,2
124,103,104.0,1
124,323,325.0,2
124,355,356.0,1
124,469,470.0,1
124,481,482.0,1
124,511,518.0,7
124,519,520.0,1
124,599,603.0,4
124,604,605.0,1
124,615,616.0,1
124,629,633.0,4
124,636,640.0,4
124,641,642.0,1
124,643,653.0,10
124,990,991.0,1
126,83,85.0,2
126,86,87.0,1
127,884,885.0,1
127,887,888.0,1
127,895,896.0,1
127,901,903.0,2
128,91,92.0,1
128,96,97.0,1
128,99,100.0,1
128,146,147.0,1
128,149,156.0,7
129,179,180.0,1
129,623,624.0,1
129,856,858.0,2
129,859,860.0,1
130,97,99.0,2
130,103,106.0,3
130,109,110.0,1
130,198,204.0,6
130,207,212.0,5
130,213,214.0,1
130,219,221.0,2
130,223,226.0,3
130,397,406.0,9
130,407,413.0,6
130,445,448.0,3
130,515,516.0,1
130,526,528.0,2
130,529,535.0,6
130,538,549.0,11
130,550,551.0,1
130,557,560.0,3
130,562,565.0,3
130,650,651.0,1
130,839,840.0,1
130,841,842.0,1
130,843,844.0,1
130,845,846.0,1
130,847,849.0,2
130,892,911.0,19
130,912,923.0,11
130,930,931.0,1
130,933,936.0,3
130,985,986.0,1
130,988,999.0,11
131,34,36.0,2
131,38,39.0,1
131,576,578.0,2
131,610,611.0,1
131,619,620.0,1
131,625,626.0,1
133,34,42.0,8
133,43,44.0,1
133,183,185.0,2
134,53,61.0,8
134,64,69.0,5
134,93,94.0,1
134,221,222.0,1
134,224,225.0,1
134,251,257.0,6
134,259,260.0,1
134,261,263.0,2
135,174,178.0,4
135,179,181.0,2
135,183,184.0,1
136,127,128.0,1
138,85,87.0,2
138,165,166.0,1
138,295,296.0,1
138,298,299.0,1
138,300,301.0,1
139,67,69.0,2
139,216,217.0,1
139,224,226.0,2
139,230,233.0,3
139,234,245.0,11
139,324,325.0,1
139,330,333.0,3
140,54,60.0,6
140,314,316.0,2
142,59,60.0,1
142,61,62.0,1
142,63,64.0,1
142,105,107.0,2
142,212,213.0,1
142,581,582.0,1
143,97,98.0,1
143,109,110.0,1
143,594,595.0,1
144,139,140.0,1
144,273,274.0,1
144,275,276.0,1
145,60,61.0,1
145,234,235.0,1
145,370,371.0,1
145,383,384.0,1
146,42,43.0,1
146,44,45.0,1
146,280,281.0,1
146,288,289.0,1
146,581,582.0,1
146,638,639.0,1
146,767,769.0,2
146,987,991.0,4
146,996,997.0,1
147,48,53.0,5
147,103,104.0,1
147,958,959.0,1
148,47,48.0,1
148,49,50.0,1
148,52,54.0,2
148,63,65.0,2
148,148,155.0,7
148,159,164.0,5
148,167,168.0,1
148,176,177.0,1
148,180,182.0,2
148,240,241.0,1
148,538,540.0,2
148,543,548.0,5
148,901,903.0,2
148,906,907.0,1
148,908,910.0,2
149,20,22.0,2
149,110,112.0,2
151,73,74.0,1
151,839,840.0,1
151,977,978.0,1
152,86,89.0,3
152,183,184.0,1
152,186,189.0,3
152,230,237.0,7
152,262,263.0,1
152,264,269.0,5
152,270,271.0,1
152,272,273.0,1
153,696,697.0,1
153,702,703.0,1
153,708,710.0,2
154,73,76.0,3
154,78,79.0,1
154,98,99.0,1
154,104,109.0,5
156,189,190.0,1
156,428,429.0,1
156,909,910.0,1
156,911,912.0,1
156,913,914.0,1
157,117,118.0,1
157,122,126.0,4
158,153,154.0,1
158,169,170.0,1
158,179,180.0,1
158,186,187.0,1
159,43,44.0,1
159,47,49.0,2
159,386,387.0,1
159,388,389.0,1
159,572,574.0,2
160,212,213.0,1
160,554,555.0,1
160,558,559.0,1
160,609,610.0,1
161,38,59.0,21
161,60,61.0,1
161,95,96.0,1
161,123,124.0,1
161,186,187.0,1
161,188,197.0,9
161,391,393.0,2
161,440,442.0,2
161,469,471.0,2
161,476,477.0,1
161,647,652.0,5
163,126,127.0,1
165,37,38.0,1
165,54,57.0,3
166,33,35.0,2
166,48,49.0,1
166,83,84.0,1
166,85,87.0,2
166,155,163.0,8
166,164,171.0,7
166,175,176.0,1
166,177,178.0,1
166,179,180.0,1
166,191,192.0,1
166,342,352.0,10
166,353,354.0,1
166,371,376.0,5
166,437,440.0,3
166,915,916.0,1
167,48,49.0,1
167,50,51.0,1
167,52,54.0,2
167,375,376.0,1
167,528,532.0,4
168,38,39.0,1
168,41,46.0,5
168,245,247.0,2
168,300,303.0,3
168,306,307.0,1
168,308,309.0,1
168,909,910.0,1
168,926,928.0,2
169,42,43.0,1
169,55,56.0,1
169,159,161.0,2
169,188,190.0,2
169,205,206.0,1
169,258,259.0,1
169,270,271.0,1
171,106,108.0,2
172,92,93.0,1
172,173,174.0,1
172,175,176.0,1
172,197,198.0,1
172,243,244.0,1
172,246,247.0,1
172,248,249.0,1
172,268,272.0,4
172,292,,0
173,90,91.0,1
173,222,223.0,1
173,272,274.0,2
173,275,277.0,2
174,88,89.0,1
174,90,92.0,2
174,96,97.0,1
174,98,101.0,3
175,46,48.0,2
175,122,123.0,1
175,387,388.0,1
176,205,209.0,4
176,346,349.0,3
176,350,351.0,1
176,594,595.0,1
176,598,601.0,3
176,776,777.0,1
176,783,785.0,2
176,786,787.0,1
176,789,790.0,1
176,803,804.0,1
176,907,908.0,1
176,913,915.0,2
176,918,920.0,2
176,921,922.0,1
176,923,924.0,1
179,326,327.0,1
179,459,462.0,3
179,558,563.0,5
179,570,571.0,1
179,588,594.0,6
179,965,967.0,2
182,101,102.0,1
182,492,493.0,1
182,528,529.0,1
183,55,56.0,1
183,88,89.0,1
183,90,91.0,1
183,94,99.0,5
183,235,236.0,1
183,294,295.0,1
183,483,484.0,1
184,88,89.0,1
184,96,98.0,2
185,64,68.0,4
185,436,437.0,1
186,48,49.0,1
186,83,85.0,2
186,175,178.0,3
187,59,60.0,1
187,62,105.0,43
187,133,134.0,1
187,145,154.0,9
187,768,769.0,1
187,836,838.0,2
187,848,849.0,1
188,93,94.0,1
188,367,368.0,1
189,127,128.0,1
189,137,139.0,2
189,821,822.0,1
189,879,882.0,3
192,458,459.0,1
192,466,467.0,1
192,468,469.0,1
192,470,471.0,1
192,526,527.0,1
193,66,69.0,3
193,330,331.0,1
194,262,263.0,1
194,407,411.0,4
194,783,784.0,1
195,27,28.0,1
195,54,57.0,3
195,81,83.0,2
196,97,98.0,1
196,137,138.0,1
196,264,265.0,1
196,266,267.0,1
196,268,269.0,1
196,270,271.0,1
196,272,273.0,1
196,274,278.0,4
196,306,309.0,3
197,64,65.0,1
197,284,285.0,1
197,467,468.0,1
197,533,534.0,1
198,85,86.0,1
198,101,102.0,1
198,103,105.0,2
198,221,222.0,1
198,269,271.0,2
198,273,276.0,3
198,425,426.0,1
198,461,462.0,1
198,463,464.0,1
199,124,125.0,1
199,756,757.0,1
200,62,63.0,1
200,279,281.0,2
200,291,292.0,1
200,393,394.0,1
201,55,56.0,1
201,88,90.0,2
201,91,92.0,1
201,95,96.0,1
202,33,35.0,2
202,102,103.0,1
202,174,176.0,2
202,177,178.0,1
202,419,420.0,1
203,148,149.0,1
203,155,156.0,1
203,158,159.0,1
203,517,518.0,1
204,363,364.0,1
204,391,392.0,1
204,399,400.0,1
205,61,62.0,1
205,78,80.0,2
205,81,82.0,1
205,83,84.0,1
206,91,92.0,1
206,263,264.0,1
206,764,765.0,1
207,51,53.0,2
207,442,443.0,1
207,694,695.0,1
207,747,748.0,1
209,94,95.0,1
209,106,107.0,1
209,108,109.0,1
209,114,116.0,2
209,218,219.0,1
209,397,398.0,1
210,994,995.0,1
211,184,185.0,1
211,187,189.0,2
212,40,41.0,1
212,43,44.0,1
212,45,46.0,1
212,47,48.0,1
212,49,51.0,2
212,115,116.0,1
212,121,122.0,1
212,127,129.0,2
212,130,132.0,2
212,201,202.0,1
212,414,415.0,1
212,804,805.0,1
212,852,853.0,1
212,860,861.0,1
212,886,887.0,1
212,910,911.0,1
213,109,110.0,1
213,481,482.0,1
213,483,484.0,1
213,485,486.0,1
215,32,34.0,2
215,35,36.0,1
215,42,43.0,1
215,45,47.0,2
215,94,95.0,1
215,104,105.0,1
215,114,115.0,1
215,966,967.0,1
216,121,122.0,1
216,320,321.0,1
216,350,352.0,2
216,358,359.0,1
216,360,361.0,1
216,364,365.0,1
216,407,408.0,1
216,411,412.0,1
216,435,436.0,1
216,439,440.0,1
217,22,25.0,3
217,65,66.0,1
217,68,74.0,6
217,442,443.0,1
217,444,445.0,1
217,447,449.0,2
217,451,452.0,1
217,581,588.0,7
217,656,657.0,1
217,670,671.0,1
218,52,54.0,2
218,185,186.0,1
218,342,343.0,1
218,345,346.0,1
218,348,349.0,1
219,40,41.0,1
219,478,479.0,1
219,481,484.0,3
219,518,520.0,2
219,525,526.0,1
220,575,576.0,1
222,64,65.0,1
223,45,46.0,1
223,51,52.0,1
223,89,90.0,1
223,93,94.0,1
223,801,803.0,2
223,877,879.0,2
224,186,187.0,1
224,188,189.0,1
224,192,193.0,1
225,186,187.0,1
225,192,194.0,2
225,226,230.0,4
225,309,310.0,1
225,311,312.0,1
225,347,348.0,1
225,838,839.0,1
225,841,842.0,1
225,894,895.0,1
226,94,99.0,5
226,102,104.0,2
226,105,108.0,3
226,114,115.0,1
227,352,354.0,2
227,357,358.0,1
227,719,720.0,1
229,273,274.0,1
229,336,337.0,1
231,200,201.0,1
231,299,305.0,6
231,512,513.0,1
231,642,643.0,1
231,687,692.0,5
231,731,737.0,6
232,78,79.0,1
232,89,90.0,1
232,92,93.0,1
232,100,101.0,1
232,103,106.0,3
232,213,214.0,1
235,260,261.0,1
235,262,263.0,1
235,264,265.0,1
235,267,268.0,1
235,269,272.0,3
235,299,300.0,1
235,929,930.0,1
236,81,82.0,1
236,364,366.0,2
236,367,368.0,1
236,369,370.0,1
236,381,383.0,2
236,391,392.0,1
236,507,508.0,1
236,579,580.0,1
236,581,582.0,1
236,647,648.0,1
236,649,650.0,1
236,873,876.0,3
237,35,40.0,5
237,44,49.0,5
237,51,52.0,1
237,53,54.0,1
237,64,70.0,6
237,72,79.0,7
237,82,87.0,5
237,185,186.0,1
237,393,394.0,1
237,395,399.0,4
237,400,401.0,1
238,86,87.0,1
238,88,89.0,1
238,91,92.0,1
239,156,157.0,1
239,701,702.0,1
239,703,704.0,1
239,709,710.0,1
239,714,715.0,1
239,736,737.0,1
239,740,741.0,1
239,752,753.0,1
240,35,36.0,1
240,39,44.0,5
240,46,50.0,4
240,54,56.0,2
240,57,60.0,3
240,71,72.0,1
241,39,42.0,3
241,48,50.0,2
241,125,126.0,1
241,241,242.0,1
242,56,58.0,2
242,386,387.0,1
242,807,809.0,2
242,812,816.0,4
243,170,171.0,1
243,191,192.0,1
243,211,212.0,1
243,780,781.0,1
243,783,784.0,1
244,71,72.0,1
244,110,111.0,1
244,959,961.0,2
246,167,168.0,1
246,169,170.0,1
246,174,175.0,1
246,176,177.0,1
246,179,180.0,1
246,208,210.0,2
246,460,461.0,1
246,472,473.0,1
246,478,479.0,1
246,480,481.0,1
246,542,546.0,4
246,573,574.0,1
246,579,582.0,3
246,692,693.0,1
246,696,697.0,1
248,41,42.0,1
248,43,46.0,3
248,49,52.0,3
248,56,58.0,2
248,61,62.0,1
248,323,324.0,1
249,83,85.0,2
249,119,120.0,1
249,128,129.0,1
249,161,163.0,2
249,273,274.0,1
249,813,817.0,4
249,819,820.0,1
249,821,822.0,1
249,823,824.0,1
249,935,936.0,1
251,650,651.0,1
251,652,654.0,2
251,666,667.0,1
251,693,694.0,1
251,695,696.0,1
251,698,700.0,2
251,703,704.0,1
251,717,718.0,1
251,806,808.0,2
251,975,977.0,2
252,121,122.0,1
253,63,64.0,1
253,72,73.0,1
253,281,282.0,1
253,284,285.0,1
253,427,428.0,1
253,563,564.0,1
253,992,993.0,1
253,994,996.0,2
253,999,1000.0,1
254,112,113.0,1
254,117,118.0,1
254,123,128.0,5
254,130,142.0,12
254,307,309.0,2
255,30,31.0,1
255,105,107.0,2
256,60,61.0,1
256,62,63.0,1
256,65,68.0,3
256,707,710.0,3
256,940,941.0,1
257,23,24.0,1
257,35,39.0,4
257,97,101.0,4
257,189,193.0,4
257,200,201.0,1
257,202,203.0,1
257,205,206.0,1
257,311,315.0,4
257,316,318.0,2
257,677,678.0,1
258,20,21.0,1
258,28,30.0,2
258,31,34.0,3
258,36,37.0,1
258,42,43.0,1
258,50,51.0,1
258,820,821.0,1
259,88,89.0,1
259,152,153.0,1
259,173,174.0,1
259,693,694.0,1
260,54,55.0,1
260,105,106.0,1
260,112,113.0,1
260,114,119.0,5
260,120,121.0,1
260,146,147.0,1
260,166,167.0,1
260,175,176.0,1
260,180,181.0,1
260,359,360.0,1
261,71,72.0,1
261,73,74.0,1
261,86,87.0,1
261,88,91.0,3
261,93,102.0,9
262,60,61.0,1
262,260,261.0,1
262,298,300.0,2
262,352,353.0,1
262,359,361.0,2
262,455,456.0,1
263,45,49.0,4
263,66,67.0,1
263,511,512.0,1
263,705,707.0,2
263,931,933.0,2
263,935,936.0,1
266,95,96.0,1
266,534,535.0,1
266,573,574.0,1
266,579,580.0,1
266,593,594.0,1
266,595,599.0,4
266,605,607.0,2
266,623,624.0,1
266,646,661.0,15
266,673,674.0,1
267,25,31.0,6
267,53,56.0,3
267,65,67.0,2
267,69,70.0,1
267,71,73.0,2
267,233,237.0,4
267,238,240.0,2
267,241,242.0,1
267,247,249.0,2
267,444,449.0,5
267,472,474.0,2
267,477,480.0,3
267,529,530.0,1
267,752,753.0,1
269,65,66.0,1
270,58,62.0,4
271,56,87.0,31
271,88,89.0,1
271,440,441.0,1
272,24,25.0,1
272,77,78.0,1
272,79,83.0,4
272,146,147.0,1
272,223,224.0,1
272,229,232.0,3
272,233,235.0,2
272,330,332.0,2
272,358,359.0,1
272,379,380.0,1
272,387,388.0,1
272,419,421.0,2
272,487,488.0,1
272,494,496.0,2
272,497,498.0,1
272,612,615.0,3
272,627,628.0,1
272,629,632.0,3
272,634,635.0,1
272,651,652.0,1
272,664,665.0,1
272,693,694.0,1
272,699,700.0,1
272,703,705.0,2
272,714,715.0,1
272,727,728.0,1
272,756,757.0,1
272,758,759.0,1
272,769,772.0,3
272,783,789.0,6
272,869,870.0,1
272,975,976.0,1
272,977,978.0,1
273,385,386.0,1
273,446,447.0,1
274,55,82.0,27
274,83,101.0,18
274,108,127.0,19
274,131,132.0,1
274,138,139.0,1
274,154,155.0,1
274,319,320.0,1
275,31,32.0,1
275,33,34.0,1
276,268,271.0,3
276,381,382.0,1
276,396,397.0,1
277,42,43.0,1
277,72,73.0,1
277,74,75.0,1
277,124,125.0,1
277,349,350.0,1
278,66,67.0,1
278,70,72.0,2
278,74,76.0,2
278,158,159.0,1
280,208,209.0,1
280,213,214.0,1
280,216,217.0,1
281,48,49.0,1
282,40,41.0,1
282,513,514.0,1
282,538,539.0,1
282,540,542.0,2
282,735,736.0,1
283,30,31.0,1
284,885,886.0,1
285,130,131.0,1
286,87,89.0,2
286,91,92.0,1
286,101,102.0,1
286,313,314.0,1
287,25,27.0,2
287,152,153.0,1
287,156,157.0,1
287,158,159.0,1
287,233,235.0,2
288,85,87.0,2
288,89,91.0,2
288,126,128.0,2
288,139,140.0,1
289,480,,0
290,56,57.0,1
290,232,234.0,2
290,239,240.0,1
290,254,255.0,1
290,831,835.0,4
290,893,894.0,1
292,96,98.0,2
292,232,233.0,1
292,511,512.0,1
292,626,628.0,2
292,629,632.0,3
292,689,690.0,1
292,691,692.0,1
293,184,185.0,1
293,206,208.0,2
294,124,125.0,1
294,412,414.0,2
294,436,437.0,1
294,713,714.0,1
295,40,41.0,1
295,90,91.0,1
295,92,93.0,1
297,31,32.0,1
297,235,236.0,1
297,238,239.0,1
298,117,118.0,1
299,98,99.0,1
299,100,104.0,4
299,107,116.0,9
299,196,197.0,1
299,199,200.0,1
299,234,235.0,1
299,239,242.0,3
299,246,249.0,3
299,250,251.0,1
299,272,273.0,1
299,291,294.0,3
299,304,318.0,14
299,320,326.0,6
300,43,44.0,1
300,327,328.0,1
300,505,508.0,3
301,105,106.0,1
301,813,814.0,1
302,204,205.0,1
302,212,213.0,1
304,136,142.0,6
304,145,149.0,4
304,155,156.0,1
304,220,221.0,1
305,29,30.0,1
305,38,39.0,1
305,45,79.0,34
305,82,92.0,10
305,116,126.0,10
305,130,133.0,3
305,135,138.0,3
305,164,165.0,1
305,225,226.0,1
305,227,228.0,1
306,243,245.0,2
306,250,251.0,1
307,105,106.0,1
307,120,121.0,1
307,136,147.0,11
308,20,27.0,7
310,432,434.0,2
310,556,557.0,1
311,177,178.0,1
312,193,194.0,1
312,462,464.0,2
312,817,818.0,1
312,819,820.0,1
313,138,139.0,1
313,156,157.0,1
313,171,172.0,1
313,570,575.0,5
313,577,579.0,2
313,827,834.0,7
313,894,896.0,2
313,913,932.0,19
314,52,53.0,1
314,86,90.0,4
314,145,146.0,1
314,205,208.0,3
314,213,216.0,3
314,253,256.0,3
314,257,259.0,2
314,294,295.0,1
314,425,426.0,1
314,562,565.0,3
314,576,577.0,1
315,93,97.0,4
315,99,101.0,2
315,106,107.0,1
315,128,130.0,2
315,132,134.0,2
315,153,157.0,4
315,193,199.0,6
315,203,205.0,2
315,306,313.0,7
315,621,622.0,1
317,611,612.0,1
318,111,112.0,1
318,114,116.0,2
318,118,119.0,1
319,144,145.0,1
319,222,223.0,1
319,660,661.0,1
319,662,663.0,1
319,690,708.0,18
319,729,730.0,1
319,731,732.0,1
320,39,40.0,1
320,41,46.0,5
321,29,31.0,2
321,86,87.0,1
321,124,127.0,3
321,128,129.0,1
321,132,135.0,3
321,138,142.0,4
321,691,692.0,1
321,784,785.0,1
322,32,33.0,1
