Episode,Disconnect_Start,Disconnect_End,Steps_Broken
2,71,75.0,4
2,80,101.0,21
2,104,105.0,1
3,36,41.0,5
4,79,80.0,1
4,81,82.0,1
4,104,109.0,5
5,69,70.0,1
5,71,73.0,2
5,102,105.0,3
6,28,29.0,1
6,216,218.0,2
6,221,222.0,1
6,223,224.0,1
6,225,226.0,1
6,234,235.0,1
6,243,246.0,3
6,251,252.0,1
7,39,41.0,2
7,45,46.0,1
7,49,51.0,2
8,93,94.0,1
9,31,32.0,1
11,52,53.0,1
11,56,57.0,1
12,282,285.0,3
12,287,288.0,1
12,410,411.0,1
13,92,95.0,3
14,50,52.0,2
14,551,563.0,12
14,564,565.0,1
16,940,941.0,1
16,943,944.0,1
16,949,950.0,1
18,35,36.0,1
18,137,138.0,1
18,409,410.0,1
19,82,84.0,2
19,85,86.0,1
19,494,495.0,1
19,515,518.0,3
19,762,763.0,1
19,770,771.0,1
19,826,827.0,1
19,828,830.0,2
20,168,169.0,1
21,43,45.0,2
21,46,47.0,1
24,296,297.0,1
24,302,304.0,2
24,305,307.0,2
25,34,35.0,1
25,362,369.0,7
25,400,404.0,4
25,408,412.0,4
25,415,421.0,6
25,445,459.0,14
25,470,474.0,4
25,475,481.0,6
25,589,593.0,4
25,595,602.0,7
25,603,604.0,1
25,618,624.0,6
25,625,643.0,18
25,645,664.0,19
25,666,667.0,1
25,668,670.0,2
25,671,672.0,1
25,674,685.0,11
25,786,789.0,3
25,790,792.0,2
25,793,794.0,1
25,795,799.0,4
25,883,884.0,1
25,885,893.0,8
25,957,958.0,1
26,984,985.0,1
29,64,66.0,2
29,68,70.0,2
31,39,40.0,1
31,121,122.0,1
31,124,126.0,2
31,677,679.0,2
31,705,706.0,1
31,707,720.0,13
31,768,769.0,1
31,774,778.0,4
31,780,786.0,6
31,799,802.0,3
31,805,807.0,2
31,876,882.0,6
31,883,932.0,49
31,934,936.0,2
31,969,984.0,15
31,991,,0
32,617,618.0,1
32,639,643.0,4
32,717,718.0,1
33,159,161.0,2
33,742,744.0,2
34,31,32.0,1
34,73,74.0,1
34,75,76.0,1
34,83,85.0,2
34,121,126.0,5
34,142,143.0,1
34,220,221.0,1
34,222,223.0,1
34,224,227.0,3
34,236,237.0,1
34,238,239.0,1
34,240,241.0,1
34,242,249.0,7
34,250,252.0,2
34,367,379.0,12
34,384,385.0,1
34,386,387.0,1
34,393,394.0,1
34,395,396.0,1
34,397,398.0,1
35,185,187.0,2
37,20,21.0,1
37,26,28.0,2
37,29,30.0,1
37,31,32.0,1
37,44,51.0,7
38,330,331.0,1
39,997,998.0,1
39,999,1000.0,1
40,46,48.0,2
40,57,62.0,5
40,65,71.0,6
41,37,39.0,2
41,40,41.0,1
43,46,47.0,1
43,49,57.0,8
43,59,69.0,10
43,73,111.0,38
43,117,119.0,2
43,120,123.0,3
43,125,154.0,29
43,156,169.0,13
43,170,228.0,58
43,229,232.0,3
43,233,240.0,7
43,259,292.0,33
43,294,376.0,82
43,382,383.0,1
43,391,394.0,3
43,402,541.0,139
43,544,546.0,2
43,548,552.0,4
43,553,554.0,1
43,556,557.0,1
43,668,669.0,1
48,465,466.0,1
50,206,207.0,1
50,426,,0
52,32,66.0,34
53,22,23.0,1
53,59,60.0,1
53,404,406.0,2
54,619,620.0,1
59,142,143.0,1
60,33,34.0,1
62,78,109.0,31
63,37,39.0,2
63,66,68.0,2
63,99,130.0,31
63,133,135.0,2
63,136,142.0,6
63,143,144.0,1
63,160,172.0,12
63,173,181.0,8
63,200,201.0,1
63,202,203.0,1
63,204,211.0,7
63,213,219.0,6
63,220,221.0,1
63,223,224.0,1
63,378,381.0,3
63,424,426.0,2
63,427,432.0,5
63,435,438.0,3
63,719,720.0,1
63,727,728.0,1
64,31,32.0,1
64,33,36.0,3
64,37,39.0,2
64,40,41.0,1
64,590,593.0,3
64,594,595.0,1
64,598,599.0,1
64,600,601.0,1
64,602,603.0,1
64,608,610.0,2
65,46,47.0,1
66,14,28.0,14
66,242,244.0,2
67,17,27.0,10
67,28,29.0,1
67,34,35.0,1
67,42,43.0,1
70,117,118.0,1
71,25,27.0,2
74,26,27.0,1
74,39,60.0,21
75,879,881.0,2
75,884,885.0,1
76,593,594.0,1
76,595,596.0,1
78,21,51.0,30
78,68,69.0,1
78,323,324.0,1
78,341,343.0,2
78,849,851.0,2
78,852,856.0,4
78,857,858.0,1
78,859,860.0,1
78,861,862.0,1
78,863,867.0,4
78,868,869.0,1
78,870,871.0,1
78,872,875.0,3
78,876,878.0,2
78,879,880.0,1
78,881,885.0,4
78,886,887.0,1
78,888,891.0,3
78,892,896.0,4
78,898,899.0,1
78,900,901.0,1
78,902,903.0,1
78,904,907.0,3
78,908,912.0,4
78,913,914.0,1
78,915,917.0,2
78,918,919.0,1
78,925,926.0,1
78,929,930.0,1
78,933,934.0,1
78,935,936.0,1
78,941,942.0,1
78,944,946.0,2
78,947,948.0,1
78,955,957.0,2
78,958,959.0,1
78,960,961.0,1
78,962,964.0,2
78,965,966.0,1
78,967,968.0,1
78,973,974.0,1
78,975,977.0,2
78,978,982.0,4
78,983,984.0,1
78,985,986.0,1
78,991,992.0,1
78,993,994.0,1
78,995,998.0,3
78,999,1000.0,1
79,22,41.0,19
79,42,68.0,26
79,90,93.0,3
79,97,98.0,1
79,370,374.0,4
80,59,63.0,4
80,64,65.0,1
80,68,71.0,3
80,72,93.0,21
80,95,101.0,6
80,103,106.0,3
80,107,108.0,1
80,112,114.0,2
80,115,116.0,1
80,117,119.0,2
82,235,237.0,2
83,86,87.0,1
83,88,91.0,3
83,95,96.0,1
83,97,98.0,1
83,100,101.0,1
83,474,475.0,1
85,468,469.0,1
85,473,474.0,1
87,33,34.0,1
88,41,42.0,1
88,45,46.0,1
88,50,51.0,1
88,917,918.0,1
92,158,159.0,1
93,25,27.0,2
93,28,29.0,1
93,52,55.0,3
93,56,60.0,4
93,89,91.0,2
93,167,168.0,1
94,127,128.0,1
96,531,532.0,1
96,533,534.0,1
96,985,986.0,1
98,71,72.0,1
99,289,290.0,1
100,61,62.0,1
100,83,97.0,14
100,103,104.0,1
100,108,111.0,3
100,139,143.0,4
100,349,353.0,4
100,363,370.0,7
100,371,373.0,2
100,374,378.0,4
100,473,475.0,2
101,14,16.0,2
101,17,24.0,7
101,31,32.0,1
101,34,51.0,17
101,53,55.0,2
101,60,62.0,2
102,81,87.0,6
105,56,58.0,2
105,69,71.0,2
105,173,174.0,1
107,53,54.0,1
107,56,58.0,2
107,64,65.0,1
107,71,76.0,5
107,229,233.0,4
107,339,344.0,5
107,366,367.0,1
109,863,864.0,1
113,124,126.0,2
113,133,135.0,2
117,35,38.0,3
117,44,45.0,1
119,28,36.0,8
119,41,42.0,1
119,43,44.0,1
119,47,51.0,4
119,52,75.0,23
119,78,83.0,5
119,86,106.0,20
119,179,180.0,1
120,366,367.0,1
120,473,474.0,1
120,477,479.0,2
120,480,481.0,1
120,490,492.0,2
120,508,509.0,1
120,510,524.0,14
121,616,639.0,23
121,640,641.0,1
122,32,33.0,1
122,34,35.0,1
122,787,788.0,1
122,792,793.0,1
122,794,795.0,1
124,27,29.0,2
124,433,435.0,2
124,457,458.0,1
124,663,664.0,1
124,792,811.0,19
124,861,862.0,1
124,863,866.0,3
124,867,870.0,3
130,981,982.0,1
131,37,40.0,3
133,65,66.0,1
133,314,315.0,1
133,318,319.0,1
134,31,43.0,12
134,44,58.0,14
134,59,60.0,1
134,67,72.0,5
134,74,81.0,7
134,108,109.0,1
134,141,144.0,3
135,58,61.0,3
135,66,99.0,33
135,100,132.0,32
135,136,137.0,1
135,138,139.0,1
135,140,141.0,1
135,142,206.0,64
135,208,209.0,1
135,211,213.0,2
135,215,216.0,1
135,217,229.0,12
135,232,234.0,2
135,328,329.0,1
135,331,333.0,2
135,732,733.0,1
135,734,736.0,2
135,793,801.0,8
135,802,804.0,2
135,806,808.0,2
135,809,811.0,2
138,24,27.0,3
139,133,135.0,2
140,64,68.0,4
140,71,72.0,1
140,300,301.0,1
140,302,304.0,2
140,417,418.0,1
140,419,420.0,1
140,425,426.0,1
140,428,429.0,1
141,210,211.0,1
141,237,241.0,4
141,273,274.0,1
141,276,286.0,10
141,288,289.0,1
141,291,293.0,2
142,47,51.0,4
142,53,54.0,1
143,206,209.0,3
144,31,33.0,2
145,552,556.0,4
146,53,55.0,2
146,61,62.0,1
146,69,70.0,1
146,606,608.0,2
146,675,676.0,1
146,684,685.0,1
146,694,698.0,4
146,723,724.0,1
148,41,45.0,4
148,50,52.0,2
148,54,56.0,2
148,226,227.0,1
148,361,366.0,5
149,369,371.0,2
151,281,282.0,1
151,879,880.0,1
153,113,114.0,1
154,411,412.0,1
154,417,418.0,1
154,447,448.0,1
154,451,452.0,1
156,473,474.0,1
156,570,572.0,2
156,574,575.0,1
156,578,579.0,1
156,581,582.0,1
156,844,845.0,1
156,915,916.0,1
159,304,307.0,3
159,331,332.0,1
159,353,357.0,4
159,365,367.0,2
159,375,377.0,2
159,618,621.0,3
159,624,630.0,6
159,634,658.0,24
159,749,750.0,1
159,848,861.0,13
159,862,888.0,26
159,891,924.0,33
159,967,,0
160,60,61.0,1
160,78,79.0,1
161,37,38.0,1
161,39,41.0,2
161,64,81.0,17
162,131,134.0,3
163,18,21.0,3
163,22,27.0,5
163,28,42.0,14
163,71,72.0,1
163,75,76.0,1
163,374,378.0,4
163,382,384.0,2
