Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
178,1000,98.56,99.9,29876.65
179,1000,99.04,99.8,29971.71
180,1000,99.04,99.7,30343.39
181,1000,97.44,99.8,29988.94
182,1000,98.4,99.4,29996.76
183,1000,99.36,99.8,30296.28
184,1000,99.36,98.7,29959.34
185,1000,97.92,99.9,30027.89
186,1000,99.04,100.0,30000.64
187,1000,99.52,100.0,29910.7
188,963,100.0,99.38,28844.07
189,1000,99.84,98.3,29996.39
190,1000,99.84,100.0,30131.12
191,897,100.0,99.22,26812.29
192,1000,99.68,99.6,30095.81
193,1000,98.88,99.8,30005.31
194,1000,99.52,99.2,29898.82
195,1000,99.52,99.4,29955.97
196,1000,99.68,99.9,30233.16
197,1000,99.52,99.9,30414.74
198,1000,99.04,100.0,30045.92
199,1000,99.84,98.4,29921.03
200,1000,99.68,99.8,30114.76
201,1000,99.52,100.0,29688.98
202,1000,99.36,100.0,29941.06
203,1000,99.36,99.7,30140.82
204,1000,99.52,99.8,30059.4
205,153,100.0,100.0,4559.41
206,1000,99.52,99.8,29895.41
207,1000,99.2,99.6,30102.3
208,299,100.0,99.0,8996.7
209,1000,99.84,99.8,29902.47
210,1000,99.2,98.1,29860.8
211,1000,99.68,99.2,30075.0
212,1000,99.52,99.6,30028.26
213,1000,99.84,99.9,29873.71
214,1000,99.68,99.9,29901.73
215,1000,99.68,98.3,29730.75
216,1000,99.36,99.7,29797.71
217,985,100.0,100.0,29194.93
218,1000,99.84,99.8,29748.33
219,264,100.0,99.62,7873.53
220,1000,99.52,99.5,29840.84
221,1000,99.52,99.9,29980.71
222,1000,98.72,99.5,30092.44
223,1000,99.52,99.7,30440.62
224,946,100.0,99.79,28472.63
225,1000,99.52,99.7,29917.73
226,1000,99.68,99.7,29888.97
227,1000,99.84,99.9,30146.04
228,1000,98.4,99.8,30259.19
229,336,100.0,100.0,10034.46
230,1000,99.84,99.6,30037.24
231,1000,99.84,99.8,30164.17
