Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,96.32,100.0,36631.55
2,1000,98.88,99.9,37645.0
3,1000,99.04,97.8,36771.08
4,1000,99.2,98.8,36239.48
5,1000,98.4,97.6,36195.59
6,1000,98.4,100.0,36200.21
7,1000,98.24,100.0,36093.26
8,1000,99.04,99.1,35975.8
9,1000,98.72,98.9,36099.18
10,1000,99.68,99.5,36276.68
11,1000,96.48,99.0,36884.02
12,1000,98.08,99.4,40836.28
13,1000,98.72,99.4,44043.46
14,1000,99.04,100.0,37293.01
15,1000,99.04,99.0,37067.57
16,1000,98.08,100.0,36527.36
17,1000,96.16,99.8,36248.41
18,1000,99.36,100.0,36260.38
19,1000,98.72,100.0,36455.09
20,1000,97.28,99.9,36329.48
21,1000,97.28,99.9,36203.93
22,1000,98.88,97.3,36359.02
23,1000,97.92,99.9,36775.77
24,1000,99.84,94.4,36351.9
25,1000,99.36,99.0,36545.31
26,1000,99.04,99.1,36791.12
27,1000,98.4,97.8,36786.44
28,1000,98.56,99.4,36405.78
29,1000,98.08,97.8,36210.75
30,1000,98.08,97.2,37015.63
31,1000,99.04,97.8,38163.54
32,1000,98.72,100.0,38565.34
33,1000,98.88,100.0,37386.2
34,1000,98.88,95.6,37476.05
35,1000,99.36,96.1,37365.57
36,1000,97.6,99.7,37343.6
37,1000,99.2,97.2,37417.18
38,1000,98.24,100.0,37409.06
39,1000,99.68,89.1,37795.9
40,1000,97.6,99.5,37427.11
41,1000,99.68,98.2,37403.69
42,1000,98.72,98.2,37341.71
43,1000,97.76,99.7,37480.52
44,1000,98.4,97.1,37293.9
45,1000,99.84,89.5,37083.42
46,1000,99.2,99.4,37159.83
47,1000,98.56,99.6,36872.14
48,1000,99.84,100.0,37089.85
49,1000,97.44,100.0,37323.21
50,1000,98.4,99.9,37077.73
51,1000,98.4,100.0,37091.34
52,1000,99.84,95.7,37173.83
53,1000,97.44,99.4,36905.26
54,1000,99.36,98.7,37093.66
55,1000,98.4,99.5,37363.18
56,1000,99.2,99.4,37340.94
57,1000,98.08,99.9,37384.36
58,1000,98.08,99.2,37659.44
59,1000,99.68,98.9,37451.71
60,1000,97.92,99.4,36849.35
61,1000,96.64,99.1,37089.37
62,1000,98.4,99.0,37040.5
63,1000,98.24,100.0,37017.05
64,1000,98.56,98.4,37198.57
65,1000,96.8,100.0,37226.37
66,1000,98.88,98.0,41927.72
67,1000,98.88,97.8,39145.43
68,1000,98.72,95.0,37209.07
69,1000,97.28,99.2,37253.36
70,1000,99.52,99.3,37556.85
71,1000,98.08,99.5,37462.42
72,1000,99.84,99.1,37364.55
73,1000,98.08,99.0,37216.74
74,661,100.0,98.94,24661.35
75,1000,97.92,99.8,37639.14
76,1000,97.76,99.7,37616.49
77,1000,97.76,100.0,37877.03
78,1000,98.88,99.2,37457.3
79,1000,99.2,49.6,37628.75
80,1000,96.64,99.6,37602.2
81,1000,99.84,98.2,37247.98
82,1000,98.4,99.7,37440.11
83,1000,99.68,96.8,41809.28
84,1000,98.56,98.9,40994.18
85,1000,98.56,100.0,39261.83
86,1000,98.08,99.9,40051.24
87,1000,98.88,98.7,39734.88
88,1000,97.44,99.5,37476.94
89,1000,96.48,100.0,36626.73
90,1000,99.36,99.8,36378.9
91,1000,99.68,97.7,36665.05
92,1000,96.64,99.4,36230.01
93,1000,99.84,98.4,36802.03
94,1000,99.52,99.4,36710.58
95,1000,97.12,99.7,37107.63
96,1000,98.08,99.7,36619.77
97,1000,97.12,99.2,37050.56
98,1000,97.6,100.0,36531.69
99,1000,98.08,99.8,36605.46
100,1000,99.52,99.5,37550.74
101,1000,97.6,97.9,37964.06
102,1000,97.28,98.5,37476.74
103,1000,96.32,99.3,36735.04
104,1000,97.44,99.9,36950.25
105,1000,95.84,98.9,37317.74
106,1000,98.72,100.0,36989.54
107,1000,99.36,41.1,37299.69
108,1000,97.6,99.9,37338.99
109,1000,97.44,99.8,37175.29
110,1000,97.6,98.8,37224.34
111,1000,98.88,99.1,37002.66
112,1000,98.4,95.8,37240.64
113,1000,99.52,94.9,37517.18
114,1000,98.72,99.4,37194.45
115,1000,98.24,100.0,37186.92
116,1000,99.2,99.9,37265.11
117,1000,99.36,99.9,37367.35
118,1000,99.2,99.9,37143.79
119,1000,93.6,98.4,37596.05
120,1000,97.28,100.0,39583.58
121,1000,98.4,97.8,37547.52
122,1000,98.4,100.0,37513.94
123,1000,98.08,99.5,38578.74
124,1000,98.88,99.9,37595.78
