Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
179,1000,99.68,99.7,87022.85
180,1000,99.84,98.9,87462.26
181,1000,99.04,98.8,86480.23
182,157,100.0,100.0,13643.74
183,1000,99.84,99.9,86728.05
184,488,100.0,100.0,42134.84
185,1000,99.36,100.0,86619.26
186,1000,99.68,100.0,86693.07
187,1000,99.04,99.5,87010.09
188,1000,99.36,99.3,86389.78
189,1000,99.52,99.2,86843.94
190,1000,99.84,99.6,86887.36
191,1000,99.84,100.0,86274.15
192,1000,99.84,99.9,87001.0
193,1000,99.2,96.0,86703.94
194,1000,99.84,96.0,86892.34
195,1000,99.84,99.7,86674.73
196,1000,99.36,100.0,86451.68
197,534,100.0,98.88,46720.64
198,239,100.0,99.58,20495.03
199,437,100.0,97.94,38238.05
200,1000,99.84,99.9,86686.07
201,1000,99.68,100.0,87423.35
202,857,100.0,99.65,74669.88
203,1000,99.84,99.9,87056.36
204,378,100.0,100.0,32907.67
205,1000,99.84,99.8,87001.51
206,1000,99.52,100.0,87433.74
207,1000,99.84,99.9,87811.28
208,226,100.0,90.27,19574.42
209,1000,99.84,99.9,87205.66
210,1000,99.84,99.3,87416.84
211,1000,99.84,99.6,87351.22
212,1000,99.84,99.7,87254.97
213,1000,99.68,99.6,86648.05
214,1000,99.84,99.1,86809.24
215,1000,99.36,99.9,87426.32
216,1000,99.2,99.8,86897.75
217,1000,99.84,99.4,87071.1
218,1000,98.72,96.3,87344.99
219,1000,99.84,99.9,86509.77
220,1000,99.84,99.9,87476.42
221,1000,99.84,100.0,86839.83
222,1000,99.36,100.0,87607.14
223,427,100.0,100.0,37116.18
224,1000,99.84,100.0,87517.09
225,246,100.0,97.97,21396.0
226,1000,99.36,99.9,86926.19
227,603,100.0,100.0,52448.73
228,1000,98.88,99.7,87255.87
229,1000,99.68,99.7,86963.17
230,1000,99.04,99.1,87055.21
231,1000,99.68,99.3,87004.49
232,1000,99.52,100.0,87188.81
233,485,100.0,99.79,41836.48
234,1000,99.36,100.0,87128.43
235,1000,99.36,99.1,86703.33
236,1000,99.68,99.9,86703.05
237,1000,99.68,99.7,85338.42
238,1000,99.36,100.0,87290.69
239,1000,99.68,100.0,87339.27
240,1000,99.2,100.0,86519.11
241,1000,99.52,99.5,86861.25
242,590,100.0,100.0,49819.57
243,789,100.0,100.0,68487.02
244,1000,99.68,99.9,86845.67
245,1000,99.52,98.8,86593.79
246,1000,99.36,100.0,86652.17
247,575,100.0,100.0,49793.2
248,713,100.0,100.0,61666.97
249,1000,99.52,99.8,86916.57
250,1000,99.68,100.0,86368.62
251,356,100.0,100.0,31091.94
252,320,100.0,100.0,27791.4
253,180,100.0,100.0,15570.43
254,1000,98.56,99.6,87030.72
255,912,100.0,99.01,79428.71
256,1000,99.68,99.7,86349.27
257,216,100.0,93.98,18874.82
258,1000,99.04,99.2,86608.41
259,1000,99.68,100.0,85636.8
260,1000,99.68,99.0,86888.41
261,1000,98.88,98.2,86420.56
262,1000,99.84,99.8,86951.91
263,1000,99.84,99.8,86910.05
264,455,100.0,99.78,39112.7
265,939,100.0,99.47,81506.94
266,936,100.0,97.86,80798.13
267,1000,98.72,99.8,86863.98
268,1000,99.2,99.6,86724.97
269,1000,99.84,99.8,86585.32
270,1000,99.84,98.6,87145.45
271,1000,99.36,99.9,86616.24
272,1000,98.4,98.5,86286.96
273,807,100.0,100.0,70041.56
274,692,100.0,100.0,62258.79
275,1000,99.68,99.0,86842.73
276,957,100.0,99.58,83153.75
277,1000,99.68,98.0,86711.54
278,273,100.0,98.9,23821.52
279,1000,98.72,99.9,86355.06
280,1000,99.84,99.2,86847.61
281,849,100.0,96.82,72313.02
282,1000,99.84,98.0,87264.6
283,1000,99.68,99.8,86667.79
284,1000,99.52,99.9,90345.47
285,354,100.0,97.74,30562.42
286,1000,99.36,100.0,86934.31
287,1000,99.68,100.0,86966.77
288,1000,99.84,100.0,86439.27
289,1000,99.52,100.0,86993.33
290,1000,99.84,98.4,86827.96
291,1000,99.68,99.8,86697.27
292,1000,99.68,100.0,86558.5
293,1000,99.84,100.0,86973.73
294,1000,99.68,97.8,86499.19
295,424,100.0,99.06,36411.63
296,662,100.0,98.64,57625.14
297,1000,99.84,100.0,86578.67
298,314,100.0,100.0,26768.5
299,1000,99.52,99.9,86273.69
300,1000,99.04,99.9,86675.53
301,132,100.0,100.0,11156.48
302,153,100.0,97.39,13321.8
303,1000,99.52,97.7,86718.98
304,938,100.0,98.72,81115.51
305,1000,99.84,100.0,86147.92
306,1000,99.36,99.9,86685.42
307,1000,99.36,97.9,86563.15
308,1000,99.84,100.0,86627.81
309,1000,99.84,99.7,86794.3
310,1000,99.2,96.3,86863.13
311,219,100.0,100.0,19109.04
312,1000,99.84,99.7,86542.21
313,514,100.0,98.64,44461.24
314,1000,99.68,99.6,87161.84
315,1000,99.84,99.9,86540.65
316,1000,99.68,99.9,86679.14
317,1000,99.84,99.9,86279.66
318,104,100.0,100.0,8991.36
319,1000,98.72,99.9,86761.14
320,1000,99.84,99.6,86489.55
321,1000,99.84,100.0,85861.95
322,1000,99.68,98.4,86653.77
323,1000,97.92,100.0,86371.93
324,1000,99.2,99.5,86673.87
325,1000,99.84,99.9,87160.97
326,1000,99.68,98.9,86480.09
327,1000,99.68,97.8,86728.27
328,1000,99.84,95.7,86749.63
329,1000,99.84,99.2,86311.25
330,1000,99.36,99.3,86981.4
331,1000,99.68,99.6,86871.7
332,1000,99.84,100.0,86997.69
333,1000,99.84,100.0,86186.98
334,1000,99.84,100.0,86861.56
335,630,100.0,100.0,54763.68
336,285,100.0,99.3,24814.52
337,1000,99.2,99.0,86767.52
338,1000,99.84,100.0,86540.64
339,1000,99.36,99.2,87108.17
340,1000,99.52,97.2,86926.7
341,1000,99.04,99.9,87318.97
342,1000,99.84,99.9,86372.9
343,1000,98.88,100.0,87204.81
344,1000,99.2,99.7,86315.54
345,619,100.0,98.87,53516.7
346,1000,99.84,100.0,86179.68
347,1000,99.68,99.5,86740.68
348,1000,99.84,99.5,86231.04
349,1000,99.68,98.4,86558.59
350,1000,99.2,98.8,86470.01
351,256,100.0,100.0,22287.55
352,727,100.0,97.39,62901.34
353,1000,99.84,100.0,87087.04
354,1000,98.88,100.0,86473.65
355,1000,99.04,99.7,86342.98
356,1000,99.52,98.2,86417.19
357,1000,99.84,100.0,86494.02
358,1000,99.84,99.3,86634.56
359,241,100.0,99.17,20521.36
360,1000,99.84,99.0,85990.62
361,1000,99.68,100.0,86545.66
362,1000,99.52,99.7,86718.11
363,1000,99.2,100.0,86938.68
364,1000,99.84,99.2,86663.29
365,1000,99.36,99.2,86821.77
366,1000,99.84,95.8,86694.3
367,488,100.0,100.0,42258.37
368,1000,99.68,99.8,86637.58
369,1000,99.84,98.6,86121.04
370,1000,99.84,99.9,86708.01
371,1000,99.68,100.0,86469.74
372,1000,99.68,99.8,86502.56
373,1000,99.68,93.9,86716.65
374,266,100.0,100.0,22817.69
375,1000,99.68,99.3,86857.07
376,816,100.0,99.75,70684.33
377,1000,99.84,100.0,86525.35
378,1000,99.36,99.2,86243.96
379,1000,99.84,99.8,86534.62
380,1000,99.68,100.0,86510.19
381,1000,98.88,99.9,86626.53
382,1000,99.68,99.9,86801.41
383,1000,98.88,99.9,86150.29
384,1000,99.68,99.4,86748.52
385,1000,99.52,99.1,86573.23
386,1000,99.84,99.3,86260.02
387,1000,99.68,98.8,86992.69
388,1000,99.52,97.3,86326.68
389,1000,99.52,99.9,86644.2
390,1000,99.84,100.0,86636.86
391,1000,99.84,100.0,86305.51
392,256,100.0,100.0,22465.25
393,1000,99.68,99.4,87895.88
394,1000,99.2,98.8,86847.7
395,1000,99.84,99.7,86835.51
396,1000,99.52,99.8,86626.6
397,1000,99.68,100.0,87214.17
398,386,100.0,99.48,33659.9
399,1000,99.84,98.3,86747.14
400,448,100.0,100.0,38973.67
401,1000,99.84,100.0,86836.11
402,1000,99.36,100.0,86563.33
403,1000,99.2,100.0,86401.98
404,1000,99.52,99.8,86780.39
405,1000,99.84,100.0,86593.01
406,1000,99.36,99.7,86416.69
407,1000,99.52,100.0,86459.11
408,1000,99.52,99.9,86220.91
409,1000,99.68,98.0,86307.44
410,1000,99.52,100.0,86658.4
411,1000,96.8,94.7,86440.62
412,419,100.0,100.0,36436.78
413,690,100.0,99.28,59667.94
414,1000,99.84,98.2,86745.22
415,1000,99.84,98.7,87064.53
416,970,100.0,99.07,84627.21
417,402,100.0,99.75,34476.28
418,1000,99.84,99.7,87231.32
419,339,100.0,100.0,29270.66
420,1000,99.36,99.8,87294.93
421,1000,99.52,99.9,86706.26
422,1000,99.36,99.8,86419.41
423,1000,99.84,88.8,86511.64
424,1000,99.04,99.7,86233.33
425,308,100.0,100.0,25537.11
426,1000,99.36,100.0,87074.49
427,1000,99.84,100.0,85699.26
428,399,100.0,99.75,34711.18
429,1000,99.84,99.9,86134.6
430,349,100.0,100.0,30384.63
431,384,100.0,100.0,33071.25
432,333,100.0,100.0,29029.12
433,1000,99.84,99.9,86377.25
434,1000,99.52,100.0,86210.79
435,1000,98.56,100.0,86644.43
436,482,100.0,99.79,41326.82
437,1000,99.84,98.3,86468.52
438,1000,99.68,98.8,85886.76
439,1000,99.52,100.0,86804.45
440,1000,99.84,99.9,86523.19
441,1000,99.84,98.7,86154.7
442,1000,99.52,99.9,86573.96
443,1000,99.04,100.0,86294.06
444,1000,99.68,100.0,85962.23
445,985,100.0,98.17,85157.86
446,1000,99.04,99.6,86708.99
447,1000,99.68,99.7,86369.33
448,888,100.0,98.31,76586.73
449,148,100.0,100.0,12497.39
450,442,100.0,97.74,38213.59
451,1000,99.04,99.9,85885.18
452,1000,99.84,99.5,86476.14
453,1000,99.2,99.6,86391.48
454,1000,99.68,99.0,86019.62
455,1000,99.84,99.8,86647.42
456,442,100.0,98.19,37949.34
457,1000,99.84,100.0,86455.79
458,1000,99.84,100.0,86499.18
459,195,100.0,100.0,16516.34
460,1000,99.84,99.6,86197.91
461,1000,99.84,96.4,86359.53
462,1000,99.68,99.8,86013.88
463,1000,99.52,100.0,86627.26
464,1000,99.52,99.7,85902.37
