Episode,Makespan,Coverage,Communication_Ratio,Inference_Time_ms
1,1000,97.6,99.7,44936.82
2,1000,98.88,100.0,46366.19
3,1000,98.72,99.9,67266.31
4,1000,99.2,99.9,92139.55
5,1000,99.84,100.0,91272.86
6,1000,99.2,100.0,93956.73
7,1000,98.08,100.0,89331.91
8,1000,99.68,99.8,90354.82
9,1000,98.4,99.9,90385.71
10,1000,98.08,100.0,82654.39
11,1000,97.44,99.0,44984.73
12,1000,99.52,99.9,44440.68
13,1000,98.24,98.8,44670.76
14,1000,99.2,100.0,44354.15
15,1000,96.48,100.0,44610.36
16,1000,98.72,100.0,44561.19
17,1000,99.04,98.9,45210.3
18,1000,99.84,96.4,46889.42
19,1000,98.24,100.0,45954.24
20,1000,74.4,99.6,46010.02
21,1000,98.08,100.0,45828.23
22,1000,98.56,99.9,45199.87
23,1000,99.52,100.0,45746.29
24,1000,99.68,99.4,44663.04
25,1000,99.2,100.0,45114.23
26,1000,98.88,20.1,45280.13
27,1000,97.6,99.8,45084.36
28,1000,99.68,98.0,46853.89
29,1000,96.96,99.9,48611.63
30,1000,96.64,97.1,46397.56
31,1000,98.88,100.0,47348.94
32,1000,99.52,99.9,45726.06
33,1000,97.92,100.0,45795.97
34,1000,99.2,37.8,46009.12
35,1000,97.12,98.6,46412.77
36,1000,97.44,99.9,46054.64
37,1000,98.72,97.9,45820.14
38,1000,98.88,100.0,45973.1
39,1000,99.68,100.0,46175.94
40,1000,97.12,100.0,45836.68
41,1000,98.4,100.0,45884.59
42,1000,97.92,99.8,46447.57
43,1000,98.24,100.0,46220.31
44,1000,96.64,100.0,46654.09
45,1000,99.36,100.0,45962.11
46,1000,99.36,100.0,45572.55
47,1000,98.24,100.0,45313.15
48,1000,99.52,100.0,45544.65
49,1000,98.4,100.0,45529.65
50,1000,98.56,98.8,45324.88
51,1000,99.84,99.9,45467.48
52,1000,98.4,100.0,45645.76
53,1000,97.76,100.0,45346.26
54,354,100.0,85.31,18432.08
55,1000,97.76,100.0,46851.13
56,1000,99.68,100.0,45930.8
57,1000,98.56,98.8,46152.68
58,1000,98.88,99.9,45402.22
59,1000,99.68,97.7,45013.55
60,1000,98.72,100.0,45561.35
61,1000,97.6,100.0,46826.88
62,1000,97.92,99.9,46170.87
63,1000,97.12,100.0,45757.27
64,1000,99.52,100.0,46092.91
65,1000,99.52,97.7,45930.64
66,1000,97.28,100.0,45725.57
67,1000,98.72,96.2,46116.56
